,,,,,,,
,,,,,,,
chave_sus_ibge,UF,COD. MUNIC,NOME DO MUNICÍPIO,População Censo 2022,POP_COBERTA_SUS,pop_coberta_DATASUS,taxa de cobertura
ACPLÁCIDODECASTRO,AC,00385,Plácido de Castro, 16 560,"20,147","20147,00",1
ACPORTOWALTER,AC,00393,Porto Walter, 10 735,"12,497","12497,00",1
ACRIOBRANCO,AC,00401,Rio Branco, 364 756,"335,800","335800,00","0,920615425106098"
ACRODRIGUESALVES,AC,00427,Rodrigues Alves, 14 938,"19,767","19767,00",1
ACSANTAROSADOPURUS,AC,00435,Santa Rosa do Purus, 6 723,"6,893","6893,00",1
ACSENADORGUIOMARD,AC,00450,Senador Guiomard, 21 454,"23,446","23446,00",1
ACSENAMADUREIRA,AC,00500,Sena Madureira, 41 343,"47,168","47168,00",1
ACTARAUACÁ,AC,00609,Tarauacá, 43 467,"43,730","43730,00",1
ACXAPURI,AC,00708,Xapuri, 18 243,"19,866","19866,00",1
ACPORTOACRE,AC,00807,Porto Acre, 16 693,"19,141","19141,00",1
AMALVARÃES,AM,00029,Alvarães, 15 866,"16,396","16396,00",1
AMAMATURÁ,AM,00060,Amaturá, 10 819,"11,934","11934,00",1
AMANAMÃ,AM,00086,Anamã, 9 962,"14,292","14292,00",1
AMANORI,AM,00102,Anori, 17 194,"21,937","21937,00",1
AMAPUÍ,AM,00144,Apuí, 20 647,"22,739","22739,00",1
AMATALAIADONORTE,AM,00201,Atalaia do Norte, 15 314,"20,868","20868,00",1
AMAUTAZES,AM,00300,Autazes, 41 564,"41,005","41005,00","0,986550861322298"
AMBARCELOS,AM,00409,Barcelos, 18 834,"27,772","27772,00",1
AMBARREIRINHA,AM,00508,Barreirinha, 31 051,"32,919","32919,00",1
AMBENJAMINCONSTANT,AM,00607,Benjamin Constant, 37 648,"44,873","44873,00",1
AMBERURI,AM,00631,Beruri, 20 718,"20,503","20503,00","0,989622550439232"
AMBOAVISTADORAMOS,AM,00680,Boa Vista do Ramos, 23 785,"20,040","20040,00","0,842547824258987"
AMBOCADOACRE,AM,00706,Boca do Acre, 35 447,"34,958","34958,00","0,986204756396874"
AMBORBA,AM,00805,Borba, 33 080,"42,328","42328,00",1
AMCAAPIRANGA,AM,00839,Caapiranga, 13 469,"13,482","13482,00",1
AMCANUTAMA,AM,00904,Canutama, 16 869,"15,981","15981,00","0,947359060999466"
AMCARAUARI,AM,01001,Carauari, 28 742,"28,719","28719,00","0,999199777329344"
AMCAREIRO,AM,01100,Careiro, 30 792,"38,820","38820,00",1
AMCAREIRODAVÁRZEA,AM,01159,Careiro da Várzea, 19 637,"31,459","31459,00",1
AMCOARI,AM,01209,Coari, 70 616,"86,713","86713,00",1
AMCODAJÁS,AM,01308,Codajás, 23 549,"29,691","29691,00",1
AMEIRUNEPÉ,AM,01407,Eirunepé, 33 170,"36,121","36121,00",1
AMENVIRA,AM,01506,Envira, 17 186,"20,748","20748,00",1
AMFONTEBOA,AM,01605,Fonte Boa, 25 871,"16,409","16409,00","0,634262301418577"
AMGUAJARÁ,AM,01654,Guajará, 13 815,"17,193","17193,00",1
AMHUMAITÁ,AM,01704,Humaitá, 57 473,"57,195","57195,00","0,995162946079028"
AMIPIXUNA,AM,01803,Ipixuna, 24 311,"31,172","31172,00",1
AMIRANDUBA,AM,01852,Iranduba, 61 163,"49,718","49718,00","0,812877066200154"
AMITACOATIARA,AM,01902,Itacoatiara, 103 598,"104,046","104046,00",1
AMITAMARATI,AM,01951,Itamarati, 10 937,"7,777","7777,00","0,711072506171711"
AMITAPIRANGA,AM,02009,Itapiranga, 10 162,"9,312","9312,00","0,916355048218855"
AMJAPURÁ,AM,02108,Japurá, 8 858,"1,755","1755,00","0,198125987807632"
AMJURUÁ,AM,02207,Juruá, 10 742,"15,495","15495,00",1
AMJUTAÍ,AM,02306,Jutaí, 25 172,"13,462","13462,00","0,534800572064198"
AMLÁBREA,AM,02405,Lábrea, 45 448,"47,685","47685,00",1
AMMANACAPURU,AM,02504,Manacapuru, 101 883,"99,613","99613,00","0,977719541042176"
AMMANAQUIRI,AM,02553,Manaquiri, 17 107,"33,981","33981,00",1
AMMANAUS,AM,02603,Manaus,2 063 689,"677,925","677925,00","0,328501532934468"
AMMANICORÉ,AM,02702,Manicoré, 53 914,"57,405","57405,00",1
AMMARAÃ,AM,02801,Maraã, 15 529,"18,298","18298,00",1
AMMAUÉS,AM,02900,Maués, 61 204,"66,159","66159,00",1
AMNHAMUNDÁ,AM,03007,Nhamundá, 20 136,"21,710","21710,00",1
AMNOVAOLINDADONORTE,AM,03106,Nova Olinda do Norte, 27 062,"38,665","38665,00",1
AMNOVOAIRÃO,AM,03205,Novo Airão, 15 761,"20,395","20395,00",1
AMNOVOARIPUANÃ,AM,03304,Novo Aripuanã, 23 818,"26,443","26443,00",1
AMPARINTINS,AM,03403,Parintins, 96 372,"116,439","116439,00",1
AMPAUINI,AM,03502,Pauini, 19 373,"19,616","19616,00",1
AMPRESIDENTEFIGUEIREDO,AM,03536,Presidente Figueiredo, 30 668,"38,095","38095,00",1
AMRIOPRETODAEVA,AM,03569,Rio Preto da Eva, 24 936,"34,856","34856,00",1
AMSANTAISABELDORIONEGRO,AM,03601,Santa Isabel do Rio Negro, 14 164,"26,566","26566,00",1
AMSANTOANTÔNIODOIÇÁ,AM,03700,Santo Antônio do Içá, 28 211,"20,889","20889,00","0,740455850554748"
AMSÃOGABRIELDACACHOEIRA,AM,03809,São Gabriel da Cachoeira, 51 795,"31,050","31050,00","0,599478714161599"
AMSÃOPAULODEOLIVENÇA,AM,03908,São Paulo de Olivença, 32 967,"40,837","40837,00",1
AMSÃOSEBASTIÃODOUATUMÃ,AM,03957,São Sebastião do Uatumã, 11 670,"14,678","14678,00",1
AMSILVES,AM,04005,Silves, 11 559,"9,289","9289,00","0,803616229777662"
AMTABATINGA,AM,04062,Tabatinga, 66 764,"68,502","68502,00",1
AMTAPAUÁ,AM,04104,Tapauá, 19 599,"16,876","16876,00","0,861064340017348"
AMTEFÉ,AM,04203,Tefé, 73 669,"59,250","59250,00","0,804273167818214"
AMTONANTINS,AM,04237,Tonantins, 19 247,"19,038","19038,00","0,989141164856861"
AMUARINI,AM,04260,Uarini, 14 431,"13,839","13839,00","0,958977201857113"
AMURUCARÁ,AM,04302,Urucará, 18 631,"16,007","16007,00","0,859159465407117"
AMURUCURITUBA,AM,04401,Urucurituba, 23 945,"24,098","24098,00",1
RRAMAJARI,RR,00027,Amajari, 13 927,"13,561","13561,00","0,973720112012637"
RRALTOALEGRE,RR,00050,Alto Alegre, 21 096,"15,249","15249,00","0,722838452787258"
RRBOAVISTA,RR,00100,Boa Vista, 413 486,"189,175","189175,00","0,457512467169384"
RRBONFIM,RR,00159,Bonfim, 13 923,"12,701","12701,00","0,912231559290383"
RRCANTÁ,RR,00175,Cantá, 18 682,"19,257","19257,00",1
RRCARACARAÍ,RR,00209,Caracaraí, 20 957,"22,635","22635,00",1
