,,,,,,,
,,,,,,,
chave_sus_ibge,UF,COD. MUNIC,NOME DO MUNICÍPIO,População Censo 2022,POP_COBERTA_SUS,pop_coberta_DATASUS,taxa de cobertura
CEMULUNGU,CE,09102,Mulungu, 10 569,"11,056","11056,00",1
CENOVAOLINDA,CE,09201,Nova Olinda, 15 399,"15,798","15798,00",1
CENOVARUSSAS,CE,09300,Nova Russas, 30 699,"32,487","32487,00",1
CENOVOORIENTE,CE,09409,Novo Oriente, 27 545,"28,737","28737,00",1
CEOCARA,CE,09458,Ocara, 24 493,"25,958","25958,00",1
CEORÓS,CE,09508,Orós, 19 675,"21,342","21342,00",1
CEPACAJUS,CE,09607,Pacajus, 70 983,"39,675","39675,00","0,558936646802756"
CEPACATUBA,CE,09706,Pacatuba, 81 524,"82,225","82225,00",1
CEPACOTI,CE,09805,Pacoti, 11 186,"9,775","9775,00","0,873860182370821"
CEPACUJÁ,CE,09904,Pacujá, 6 175,"6,565","6565,00",1
CEPALHANO,CE,10001,Palhano, 9 346,"9,458","9458,00",1
CEPALMÁCIA,CE,10100,Palmácia, 10 242,"13,553","13553,00",1
CEPARACURU,CE,10209,Paracuru, 38 980,"35,526","35526,00","0,911390456644433"
CEPARAIPABA,CE,10258,Paraipaba, 32 216,"32,200","32200,00","0,999503352371493"
CEPARAMBU,CE,10308,Parambu, 31 445,"31,391","31391,00","0,998282715853077"
CEPARAMOTI,CE,10407,Paramoti, 10 384,"12,276","12276,00",1
CEPEDRABRANCA,CE,10506,Pedra Branca, 40 187,"43,359","43359,00",1
CEPENAFORTE,CE,10605,Penaforte, 8 972,"9,207","9207,00",1
CEPENTECOSTE,CE,10704,Pentecoste, 37 813,"38,045","38045,00",1
CEPEREIRO,CE,10803,Pereiro, 15 274,"16,356","16356,00",1
CEPINDORETAMA,CE,10852,Pindoretama, 23 391,"20,964","20964,00","0,896242144414518"
CEPIQUETCARNEIRO,CE,10902,Piquet Carneiro, 16 616,"17,210","17210,00",1
CEPIRESFERREIRA,CE,10951,Pires Ferreira, 10 606,"11,052","11052,00",1
CEPORANGA,CE,11009,Poranga, 12 065,"12,358","12358,00",1
CEPORTEIRAS,CE,11108,Porteiras, 17 050,"14,920","14920,00","0,875073313782991"
CEPOTENGI,CE,11207,Potengi, 8 833,"11,165","11165,00",1
CEPOTIRETAMA,CE,11231,Potiretama, 5 974,"6,455","6455,00",1
CEQUITERIANÓPOLIS,CE,11264,Quiterianópolis, 20 213,"21,246","21246,00",1
CEQUIXADÁ,CE,11306,Quixadá, 84 168,"88,899","88899,00",1
CEQUIXELÔ,CE,11355,Quixelô, 15 910,"16,116","16116,00",1
CEQUIXERAMOBIM,CE,11405,Quixeramobim, 82 177,"82,455","82455,00",1
CEQUIXERÉ,CE,11504,Quixeré, 20 874,"22,432","22432,00",1
CEREDENÇÃO,CE,11603,Redenção, 27 214,"29,238","29238,00",1
CERERIUTABA,CE,11702,Reriutaba, 18 606,"18,279","18279,00","0,982425024185747"
CERUSSAS,CE,11801,Russas, 72 928,"79,550","79550,00",1
CESABOEIRO,CE,11900,Saboeiro, 13 854,"15,757","15757,00",1
CESALITRE,CE,11959,Salitre, 16 633,"16,714","16714,00",1
CESANTANADOACARAÚ,CE,12007,Santana do Acaraú, 30 628,"32,851","32851,00",1
CESANTANADOCARIRI,CE,12106,Santana do Cariri, 16 954,"17,726","17726,00",1
CESANTAQUITÉRIA,CE,12205,Santa Quitéria, 40 183,"43,719","43719,00",1
CESÃOBENEDITO,CE,12304,São Benedito, 47 640,"47,150","47150,00","0,989714525608732"
CESÃOGONÇALODOAMARANTE,CE,12403,São Gonçalo do Amarante, 54 143,"49,306","49306,00","0,910662504848272"
CESÃOJOÃODOJAGUARIBE,CE,12502,São João do Jaguaribe, 5 855,"7,557","7557,00",1
CESÃOLUÍSDOCURU,CE,12601,São Luís do Curu, 10 822,"13,086","13086,00",1
CESENADORPOMPEU,CE,12700,Senador Pompeu, 24 266,"25,418","25418,00",1
CESENADORSÁ,CE,12809,Senador Sá, 7 262,"7,758","7758,00",1
CESOBRAL,CE,12908,Sobral, 203 023,"212,437","212437,00",1
CESOLONÓPOLE,CE,13005,Solonópole, 18 179,"18,389","18389,00",1
CETABULEIRODONORTE,CE,13104,Tabuleiro do Norte, 30 652,"32,079","32079,00",1
CETAMBORIL,CE,13203,Tamboril, 24 815,"26,199","26199,00",1
CETARRAFAS,CE,13252,Tarrafas, 7 529,"8,555","8555,00",1
CETAUÁ,CE,13302,Tauá, 61 227,"59,259","59259,00","0,967857317849968"
CETEJUÇUOCA,CE,13351,Tejuçuoca, 17 154,"19,551","19551,00",1
CETIANGUÁ,CE,13401,Tianguá, 81 506,"77,111","77111,00","0,946077589379923"
CETRAIRI,CE,13500,Trairi, 58 415,"56,653","56653,00","0,969836514593854"
CETURURU,CE,13559,Tururu, 15 412,"16,588","16588,00",1
CEUBAJARA,CE,13609,Ubajara, 32 767,"32,775","32775,00",1
CEUMARI,CE,13708,Umari, 6 871,"7,740","7740,00",1
CEUMIRIM,CE,13757,Umirim, 17 470,"14,375","14375,00","0,822839152833429"
CEURUBURETAMA,CE,13807,Uruburetama, 20 189,"22,223","22223,00",1
CEURUOCA,CE,13906,Uruoca, 13 746,"13,988","13988,00",1
CEVARJOTA,CE,13955,Varjota, 18 105,"18,520","18520,00",1
CEVÁRZEAALEGRE,CE,14003,Várzea Alegre, 38 984,"41,078","41078,00",1
CEVIÇOSADOCEARÁ,CE,14102,Viçosa do Ceará, 59 712,"54,625","54625,00","0,914807743837085"
RNACARI,RN,00109,Acari, 10 597,"11,106","11106,00",1
RNAÇU,RN,00208,Açu, 56 496,"58,743","58743,00",1
RNAFONSOBEZERRA,RN,00307,Afonso Bezerra, 10 839,"11,024","11024,00",1
RNÁGUANOVA,RN,00406,Água Nova, 2 946,"3,293","3293,00",1
RNALEXANDRIA,RN,00505,Alexandria, 13 640,"13,529","13529,00","0,991862170087977"
RNALMINOAFONSO,RN,00604,Almino Afonso, 4 687,"4,685","4685,00","0,999573287817367"
RNALTODORODRIGUES,RN,00703,Alto do Rodrigues, 12 484,"14,923","14923,00",1
RNANGICOS,RN,00802,Angicos, 11 632,"11,695","11695,00",1
RNANTÔNIOMARTINS,RN,00901,Antônio Martins, 6 577,"7,162","7162,00",1
RNAPODI,RN,01008,Apodi, 36 093,"35,904","35904,00","0,994763527553819"
RNAREIABRANCA,RN,01107,Areia Branca, 24 093,"28,156","28156,00",1
RNARÊS,RN,01206,Arês, 13 251,"14,526","14526,00",1
RNCAMPOGRANDE,RN,01305,Campo Grande, 9 730,#N/DISP,#N/DISP,#N/DISP
RNBAÍAFORMOSA,RN,01404,Baía Formosa, 8 825,"9,373","9373,00",1
RNBARAÚNA,RN,01453,Baraúna, 26 913,"29,112","29112,00",1
RNBARCELONA,RN,01503,Barcelona, 3 986,"3,989","3989,00",1
RNBENTOFERNANDES,RN,01602,Bento Fernandes, 4 807,"5,552","5552,00",1
RNBODÓ,RN,01651,Bodó, 2 306,"2,171","2171,00","0,941457068516912"
RNBOMJESUS,RN,01701,Bom Jesus, 9 952,"10,323","10323,00",1
RNBREJINHO,RN,01800,Brejinho, 12 202,"12,873","12873,00",1
RNCAIÇARADONORTE,RN,01859,Caiçara do Norte, 6 293,"6,572","6572,00",1
RNCAIÇARADORIODOVENTO,RN,01909,Caiçara do Rio do Vento, 3 268,"3,745","3745,00",1
RNCAICÓ,RN,02006,Caicó, 61 146,"68,726","68726,00",1
RNCAMPOREDONDO,RN,02105,Campo Redondo, 10 215,"11,363","11363,00",1
RNCANGUARETAMA,RN,02204,Canguaretama, 29 668,"34,814","34814,00",1
RNCARAÚBAS,RN,02303,Caraúbas, 19 727,"20,588","20588,00",1
RNCARNAÚBADOSDANTAS,RN,02402,Carnaúba dos Dantas, 7 992,"8,297","8297,00",1
RNCARNAUBAIS,RN,02501,Carnaubais, 9 714,"10,972","10972,00",1
RNCEARÁMIRIM,RN,02600,Ceará-Mirim, 79 115,"74,268","74268,00","0,938734753207356"
RNCERROCORÁ,RN,02709,Cerro Corá, 11 000,"11,182","11182,00",1
RNCORONELEZEQUIEL,RN,02808,Coronel Ezequiel, 5 117,"5,501","5501,00",1
RNCORONELJOÃOPESSOA,RN,02907,Coronel João Pessoa, 4 237,"4,918","4918,00",1
RNCRUZETA,RN,03004,Cruzeta, 8 005,"7,968","7968,00","0,995377888819488"
RNCURRAISNOVOS,RN,03103,Currais Novos, 41 313,"45,022","45022,00",1
RNDOUTORSEVERIANO,RN,03202,Doutor Severiano, 7 044,"4,025","4025,00","0,571408290743896"
RNPARNAMIRIM,RN,03251,Parnamirim, 252 716,"190,900","190900,00","0,755393406036816"
RNENCANTO,RN,03301,Encanto, 6 016,"5,697","5697,00","0,946974734042553"
RNEQUADOR,RN,03400,Equador, 5 360,"6,064","6064,00",1
RNESPÍRITOSANTO,RN,03509,Espírito Santo, 10 620,"10,463","10463,00","0,985216572504708"
RNEXTREMOZ,RN,03608,Extremoz, 61 635,"29,282","29282,00","0,475087206944106"
RNFELIPEGUERRA,RN,03707,Felipe Guerra, 5 944,"6,009","6009,00",1
RNFERNANDOPEDROZA,RN,03756,Fernando Pedroza, 2 938,"3,081","3081,00",1
RNFLORÂNIA,RN,03806,Florânia, 10 196,"9,772","9772,00","0,958415064731267"
RNFRANCISCODANTAS,RN,03905,Francisco Dantas, 2 700,"2,801","2801,00",1
RNFRUTUOSOGOMES,RN,04002,Frutuoso Gomes, 4 122,"4,015","4015,00","0,974041727316837"
RNGALINHOS,RN,04101,Galinhos, 2 104,"2,875","2875,00",1
RNGOIANINHA,RN,04200,Goianinha, 26 741,"27,004","27004,00",1
RNGOVERNADORDIXSEPTROSADO,RN,04309,Governador Dix-Sept Rosado, 11 938,"13,115","13115,00",1
RNGROSSOS,RN,04408,Grossos, 9 924,"10,541","10541,00",1
RNGUAMARÉ,RN,04507,Guamaré, 15 295,"16,261","16261,00",1
RNIELMOMARINHO,RN,04606,Ielmo Marinho, 11 615,"14,033","14033,00",1
RNIPANGUAÇU,RN,04705,Ipanguaçu, 14 131,"15,759","15759,00",1
RNIPUEIRA,RN,04804,Ipueira, 2 035,"2,264","2264,00",1
RNITAJÁ,RN,04853,Itajá, 7 292,"7,641","7641,00",1
RNITAÚ,RN,04903,Itaú, 5 320,"5,916","5916,00",1
RNJAÇANÃ,RN,05009,Jaçanã, 7 834,"9,341","9341,00",1
RNJANDAÍRA,RN,05108,Jandaíra, 6 562,"6,907","6907,00",1
RNJANDUÍS,RN,05207,Janduís, 4 746,"5,228","5228,00",1
RNJANUÁRIOCICCO,RN,05306,Januário Cicco, 9 051,"10,367","10367,00",1
RNJAPI,RN,05405,Japi, 5 117,"4,935","4935,00","0,964432284541724"
RNJARDIMDEANGICOS,RN,05504,Jardim de Angicos, 2 437,"2,600","2600,00",1
RNJARDIMDEPIRANHAS,RN,05603,Jardim de Piranhas, 13 977,"15,044","15044,00",1
RNJARDIMDOSERIDÓ,RN,05702,Jardim do Seridó, 11 655,"12,397","12397,00",1
RNJOÃOCÂMARA,RN,05801,João Câmara, 33 290,"35,360","35360,00",1
RNJOÃODIAS,RN,05900,João Dias, 2 076,"2,653","2653,00",1
RNJOSÉDAPENHA,RN,06007,José da Penha, 5 803,"5,941","5941,00",1
RNJUCURUTU,RN,06106,Jucurutu, 17 793,"18,335","18335,00",1
RNJUNDIÁ,RN,06155,Jundiá, 3 739,"3,945","3945,00",1
RNLAGOAD'ANTA,RN,06205,Lagoa d'Anta, 6 654,"6,851","6851,00",1
RNLAGOADEPEDRAS,RN,06304,Lagoa de Pedras, 7 338,"7,624","7624,00",1
RNLAGOADEVELHOS,RN,06403,Lagoa de Velhos, 2 567,"2,732","2732,00",1
RNLAGOANOVA,RN,06502,Lagoa Nova, 15 573,"15,880","15880,00",1
RNLAGOASALGADA,RN,06601,Lagoa Salgada, 8 319,"8,348","8348,00",1
RNLAJES,RN,06700,Lajes, 9 866,"11,410","11410,00",1
RNLAJESPINTADAS,RN,06809,Lajes Pintadas, 4 787,"4,768","4768,00","0,996030917067057"
RNLUCRÉCIA,RN,06908,Lucrécia, 3 490,"4,053","4053,00",1
RNLUÍSGOMES,RN,07005,Luís Gomes, 9 070,"10,175","10175,00",1
RNMACAÍBA,RN,07104,Macaíba, 82 249,"52,900","52900,00","0,643168913907768"
RNMACAU,RN,07203,Macau, 27 369,"32,260","32260,00",1
RNMAJORSALES,RN,07252,Major Sales, 3 924,"4,102","4102,00",1
RNMARCELINOVIEIRA,RN,07302,Marcelino Vieira, 7 896,"8,325","8325,00",1
RNMARTINS,RN,07401,Martins, 8 179,"8,790","8790,00",1
RNMAXARANGUAPE,RN,07500,Maxaranguape, 10 255,"12,714","12714,00",1
RNMESSIASTARGINO,RN,07609,Messias Targino, 4 274,"4,665","4665,00",1
RNMONTANHAS,RN,07708,Montanhas, 11 444,"11,166","11166,00","0,975707794477456"
RNMONTEALEGRE,RN,07807,Monte Alegre, 23 031,"22,698","22698,00","0,985541227041813"
RNMONTEDASGAMELEIRAS,RN,07906,Monte das Gameleiras, 2 276,"2,063","2063,00","0,906414762741652"
RNMOSSORÓ,RN,08003,Mossoró, 264 577,"248,400","248400,00","0,938857119099544"
RNNATAL,RN,08102,Natal, 751 300,"399,050","399050,00","0,531146013576467"
RNNÍSIAFLORESTA,RN,08201,Nísia Floresta, 31 942,"28,266","28266,00","0,884916410994928"
RNNOVACRUZ,RN,08300,Nova Cruz, 34 269,"37,554","37554,00",1
RNOLHOD'ÁGUADOBORGES,RN,08409,Olho d'Água do Borges, 3 905,"4,231","4231,00",1
RNOUROBRANCO,RN,08508,Ouro Branco, 4 913,"4,813","4813,00","0,979645837573784"
RNPARANÁ,RN,08607,Paraná, 3 934,"4,298","4298,00",1
RNPARAÚ,RN,08706,Paraú, 3 579,"3,732","3732,00",1
RNPARAZINHO,RN,08805,Parazinho, 4 801,"5,307","5307,00",1
RNPARELHAS,RN,08904,Parelhas, 21 499,"21,611","21611,00",1
RNRIODOFOGO,RN,08953,Rio do Fogo, 10 351,"10,961","10961,00",1
RNPASSAEFICA,RN,09100,Passa e Fica, 10 896,"13,667","13667,00",1
RNPASSAGEM,RN,09209,Passagem, 3 115,"2,875","2875,00","0,922953451043339"
RNPATU,RN,09308,Patu, 11 007,"12,861","12861,00",1
RNSANTAMARIA,RN,09332,Santa Maria, 4 847,"5,689","5689,00",1
RNPAUDOSFERROS,RN,09407,Pau dos Ferros, 30 479,"30,802","30802,00",1
RNPEDRAGRANDE,RN,09506,Pedra Grande, 3 618,"3,163","3163,00","0,874239911553344"
RNPEDRAPRETA,RN,09605,Pedra Preta, 2 441,"2,419","2419,00","0,990987300286768"
RNPEDROAVELINO,RN,09704,Pedro Avelino, 6 242,"6,591","6591,00",1
RNPEDROVELHO,RN,09803,Pedro Velho, 13 824,"14,881","14881,00",1
RNPENDÊNCIAS,RN,09902,Pendências, 12 278,"15,411","15411,00",1
RNPILÕES,RN,10009,Pilões, 2 965,"3,900","3900,00",1
RNPOÇOBRANCO,RN,10108,Poço Branco, 12 390,"15,646","15646,00",1
RNPORTALEGRE,RN,10207,Portalegre, 7 601,"7,944","7944,00",1
RNPORTODOMANGUE,RN,10256,Porto do Mangue, 5 228,"6,605","6605,00",1
RNSERRACAIADA,RN,10306,Serra Caiada, 10 125,"10,646","10646,00",1
RNPUREZA,RN,10405,Pureza, 9 362,"9,825","9825,00",1
RNRAFAELFERNANDES,RN,10504,Rafael Fernandes, 5 432,"5,158","5158,00","0,949558173784978"
RNRAFAELGODEIRO,RN,10603,Rafael Godeiro, 2 934,"3,214","3214,00",1
RNRIACHODACRUZ,RN,10702,Riacho da Cruz, 2 701,"3,648","3648,00",1
RNRIACHODESANTANA,RN,10801,Riacho de Santana, 4 127,"4,194","4194,00",1
RNRIACHUELO,RN,10900,Riachuelo, 7 389,"8,310","8310,00",1
RNRODOLFOFERNANDES,RN,11007,Rodolfo Fernandes, 4 242,"4,457","4457,00",1
RNTIBAU,RN,11056,Tibau, 5 382,"4,173","4173,00","0,77536231884058"
RNRUYBARBOSA,RN,11106,Ruy Barbosa, 3 206,"3,584","3584,00",1
RNSANTACRUZ,RN,11205,Santa Cruz, 37 313,"40,295","40295,00",1
RNSANTANADOMATOS,RN,11403,Santana do Matos, 12 456,"11,808","11808,00","0,947976878612717"
RNSANTANADOSERIDÓ,RN,11429,Santana do Seridó, 2 696,"2,699","2699,00",1
RNSANTOANTÔNIO,RN,11502,Santo Antônio, 22 177,"24,422","24422,00",1
RNSÃOBENTODONORTE,RN,11601,São Bento do Norte, 3 304,"2,687","2687,00","0,813256658595642"
RNSÃOBENTODOTRAIRÍ,RN,11700,São Bento do Trairí, 3 792,"4,541","4541,00",1
RNSÃOFERNANDO,RN,11809,São Fernando, 3 492,"3,606","3606,00",1
RNSÃOFRANCISCODOOESTE,RN,11908,São Francisco do Oeste, 4 161,"4,281","4281,00",1
RNSÃOGONÇALODOAMARANTE,RN,12005,São Gonçalo do Amarante, 115 838,"70,150","70150,00","0,605587113037173"
RNSÃOJOÃODOSABUGI,RN,12104,São João do Sabugi, 5 956,"6,221","6221,00",1
RNSÃOJOSÉDEMIPIBU,RN,12203,São José de Mipibu, 47 286,"38,525","38525,00","0,814723173878103"
RNSÃOJOSÉDOCAMPESTRE,RN,12302,São José do Campestre, 11 121,"12,901","12901,00",1
RNSÃOJOSÉDOSERIDÓ,RN,12401,São José do Seridó, 4 558,"4,696","4696,00",1
RNSÃOMIGUEL,RN,12500,São Miguel, 23 537,"23,575","23575,00",1
RNSÃOMIGUELDOGOSTOSO,RN,12559,São Miguel do Gostoso, 10 221,"10,441","10441,00",1
RNSÃOPAULODOPOTENGI,RN,12609,São Paulo do Potengi, 16 786,"17,858","17858,00",1
RNSÃOPEDRO,RN,12708,São Pedro, 5 776,"5,889","5889,00",1
RNSÃORAFAEL,RN,12807,São Rafael, 7 711,"8,183","8183,00",1
RNSÃOTOMÉ,RN,12906,São Tomé, 9 972,"11,051","11051,00",1
RNSÃOVICENTE,RN,13003,São Vicente, 6 310,"6,476","6476,00",1
RNSENADORELÓIDESOUZA,RN,13102,Senador Elói de Souza, 5 965,"6,167","6167,00",1
RNSENADORGEORGINOAVELINO,RN,13201,Senador Georgino Avelino, 4 065,"4,527","4527,00",1
RNSERRADESÃOBENTO,RN,13300,Serra de São Bento, 5 703,"5,739","5739,00",1
RNSERRADOMEL,RN,13359,Serra do Mel, 13 091,"12,225","12225,00","0,933847681613322"
RNSERRANEGRADONORTE,RN,13409,Serra Negra do Norte, 7 597,"8,105","8105,00",1
RNSERRINHA,RN,13508,Serrinha, 6 436,"6,128","6128,00","0,952144188937228"
RNSERRINHADOSPINTOS,RN,13557,Serrinha dos Pintos, 4 659,"4,832","4832,00",1
RNSEVERIANOMELO,RN,13607,Severiano Melo, 5 487,"1,743","1743,00","0,31765992345544"
RNSÍTIONOVO,RN,13706,Sítio Novo, 4 654,"5,600","5600,00",1
RNTABOLEIROGRANDE,RN,13805,Taboleiro Grande, 2 338,"2,606","2606,00",1
RNTAIPU,RN,13904,Taipu, 11 422,"12,314","12314,00",1
RNTANGARÁ,RN,14001,Tangará, 13 281,"16,008","16008,00",1
RNTENENTEANANIAS,RN,14100,Tenente Ananias, 10 262,"10,923","10923,00",1
RNTENENTELAURENTINOCRUZ,RN,14159,Tenente Laurentino Cruz, 5 891,"6,085","6085,00",1
RNTIBAUDOSUL,RN,14209,Tibau do Sul, 16 929,"14,694","14694,00","0,867978025872763"
RNTIMBAÚBADOSBATISTAS,RN,14308,Timbaúba dos Batistas, 2 348,"2,427","2427,00",1
RNTOUROS,RN,14407,Touros, 33 035,"33,716","33716,00",1
RNTRIUNFOPOTIGUAR,RN,14456,Triunfo Potiguar, 3 376,"3,195","3195,00","0,946386255924171"
RNUMARIZAL,RN,14506,Umarizal, 10 078,"10,485","10485,00",1
RNUPANEMA,RN,14605,Upanema, 13 577,"14,937","14937,00",1
RNVÁRZEA,RN,14704,Várzea, 5 233,"5,175","5175,00","0,988916491496274"
RNVENHAVER,RN,14753,Venha-Ver, 3 014,"4,232","4232,00",1
RNVERACRUZ,RN,14803,Vera Cruz, 10 735,"12,789","12789,00",1
RNVIÇOSA,RN,14902,Viçosa, 1 822,"1,731","1731,00","0,950054884742042"
RNVILAFLOR,RN,15008,Vila Flor, 3 174,"3,217","3217,00",1
PBÁGUABRANCA,PB,00106,Água Branca, 9 335,"10,375","10375,00",1
PBAGUIAR,PB,00205,Aguiar, 5 003,"5,622","5622,00",1
PBALAGOAGRANDE,PB,00304,Alagoa Grande, 26 062,"28,384","28384,00",1
PBALAGOANOVA,PB,00403,Alagoa Nova, 21 013,"20,992","20992,00","0,999000618664636"
PBALAGOINHA,PB,00502,Alagoinha, 13 725,"14,629","14629,00",1
PBALCANTIL,PB,00536,Alcantil, 5 578,"5,527","5527,00","0,990856937970599"
PBALGODÃODEJANDAÍRA,PB,00577,Algodão de Jandaíra, 2 953,"2,588","2588,00","0,876396884524213"
PBALHANDRA,PB,00601,Alhandra, 21 730,"19,865","19865,00","0,914173953060285"
PBSÃOJOÃODORIODOPEIXE,PB,00700,São João do Rio do Peixe, 17 964,"18,020","18020,00",1
PBAMPARO,PB,00734,Amparo, 2 234,"2,264","2264,00",1
PBAPARECIDA,PB,00775,Aparecida, 7 960,"8,482","8482,00",1
PBARAÇAGI,PB,00809,Araçagi, 16 646,"16,857","16857,00",1
PBARARA,PB,00908,Arara, 12 212,"13,613","13613,00",1
PBARARUNA,PB,01005,Araruna, 17 189,"20,610","20610,00",1
PBAREIA,PB,01104,Areia, 22 633,"22,493","22493,00","0,99381434189016"
PBAREIADEBARAÚNAS,PB,01153,Areia de Baraúnas, 2 005,"2,105","2105,00",1
PBAREIAL,PB,01203,Areial, 7 128,"7,054","7054,00","0,989618406285073"
PBAROEIRAS,PB,01302,Aroeiras, 18 705,"19,081","19081,00",1
PBASSUNÇÃO,PB,01351,Assunção, 4 152,"4,067","4067,00","0,979527938342967"
PBBAÍADATRAIÇÃO,PB,01401,Baía da Traição, 9 224,"9,197","9197,00","0,997072853425846"
PBBANANEIRAS,PB,01500,Bananeiras, 23 134,"21,220","21220,00","0,917264632143166"
PBBARAÚNA,PB,01534,Baraúna, 4 762,"5,033","5033,00",1
PBBARRADESANTANA,PB,01575,Barra de Santana, 8 059,"8,338","8338,00",1
PBBARRADESANTAROSA,PB,01609,Barra de Santa Rosa, 12 904,"15,607","15607,00",1
PBBARRADESÃOMIGUEL,PB,01708,Barra de São Miguel, 5 906,"6,095","6095,00",1
PBBAYEUX,PB,01807,Bayeux, 82 742,"97,519","97519,00",1
PBBELÉM,PB,01906,Belém, 16 401,"17,733","17733,00",1
PBBELÉMDOBREJODOCRUZ,PB,02003,Belém do Brejo do Cruz, 6 268,"7,356","7356,00",1
PBBERNARDINOBATISTA,PB,02052,Bernardino Batista, 3 504,"3,571","3571,00",1
PBBOAVENTURA,PB,02102,Boa Ventura, 5 207,"5,248","5248,00",1
PBBOAVISTA,PB,02151,Boa Vista, 6 377,"7,218","7218,00",1
PBBOMJESUS,PB,02201,Bom Jesus, 2 286,"2,588","2588,00",1
PBBOMSUCESSO,PB,02300,Bom Sucesso, 4 661,"4,937","4937,00",1
PBBONITODESANTAFÉ,PB,02409,Bonito de Santa Fé, 10 252,"12,126","12126,00",1
PBBOQUEIRÃO,PB,02508,Boqueirão, 17 598,"17,934","17934,00",1
PBIGARACY,PB,02607,Igaracy, 5 648,"6,092","6092,00",1
PBBORBOREMA,PB,02706,Borborema, 4 214,"5,311","5311,00",1
PBBREJODOCRUZ,PB,02805,Brejo do Cruz, 13 613,"14,287","14287,00",1
PBBREJODOSSANTOS,PB,02904,Brejo dos Santos, 5 742,"6,479","6479,00",1
PBCAAPORÃ,PB,03001,Caaporã, 21 193,"22,079","22079,00",1
PBCABACEIRAS,PB,03100,Cabaceiras, 5 335,"5,710","5710,00",1
PBCABEDELO,PB,03209,Cabedelo, 66 519,"67,850","67850,00",1
PBCACHOEIRADOSÍNDIOS,PB,03308,Cachoeira dos Índios, 9 151,"10,364","10364,00",1
PBCACIMBADEAREIA,PB,03407,Cacimba de Areia, 3 291,"3,708","3708,00",1
PBCACIMBADEDENTRO,PB,03506,Cacimba de Dentro, 16 064,"17,169","17169,00",1
PBCACIMBAS,PB,03555,Cacimbas, 7 223,"7,225","7225,00",1
PBCAIÇARA,PB,03605,Caiçara, 6 602,"7,182","7182,00",1
PBCAJAZEIRAS,PB,03704,Cajazeiras, 63 239,"62,576","62576,00","0,989515963250526"
PBCAJAZEIRINHAS,PB,03753,Cajazeirinhas, 2 740,"3,217","3217,00",1
PBCALDASBRANDÃO,PB,03803,Caldas Brandão, 5 753,"6,077","6077,00",1
PBCAMALAÚ,PB,03902,Camalaú, 6 085,"6,048","6048,00","0,99391947411668"
PBCAMPINAGRANDE,PB,04009,Campina Grande, 419 379,"311,650","311650,00","0,743122569322737"
PBCAPIM,PB,04033,Capim, 6 970,"6,715","6715,00","0,963414634146341"
PBCARAÚBAS,PB,04074,Caraúbas, 3 944,"4,206","4206,00",1
PBCARRAPATEIRA,PB,04108,Carrapateira, 2 312,"2,714","2714,00",1
PBCASSERENGUE,PB,04157,Casserengue, 6 889,"7,530","7530,00",1
PBCATINGUEIRA,PB,04207,Catingueira, 4 491,"4,938","4938,00",1
PBCATOLÉDOROCHA,PB,04306,Catolé do Rocha, 30 661,"30,819","30819,00",1
PBCATURITÉ,PB,04355,Caturité, 5 254,"4,898","4898,00","0,932242101256186"
PBCONCEIÇÃO,PB,04405,Conceição, 18 260,"19,030","19030,00",1
PBCONDADO,PB,04504,Condado, 6 451,"6,662","6662,00",1
PBCONDE,PB,04603,Conde, 27 605,"25,341","25341,00","0,917985872124615"
PBCONGO,PB,04702,Congo, 4 933,"4,787","4787,00","0,970403405635516"
PBCOREMAS,PB,04801,Coremas, 14 683,"15,438","15438,00",1
PBCOXIXOLA,PB,04850,Coxixola, 1 824,"1,948","1948,00",1
PBCRUZDOESPÍRITOSANTO,PB,04900,Cruz do Espírito Santo, 17 095,"17,599","17599,00",1
PBCUBATI,PB,05006,Cubati, 7 580,"7,866","7866,00",1
PBCUITÉ,PB,05105,Cuité, 19 719,"20,331","20331,00",1
PBCUITEGI,PB,05204,Cuitegi, 6 730,"6,748","6748,00",1
PBCUITÉDEMAMANGUAPE,PB,05238,Cuité de Mamanguape, 6 251,"6,360","6360,00",1
PBCURRALDECIMA,PB,05279,Curral de Cima, 5 254,"5,209","5209,00","0,9914350970689"
PBCURRALVELHO,PB,05303,Curral Velho, 2 292,"2,508","2508,00",1
PBDAMIÃO,PB,05352,Damião, 4 982,"5,409","5409,00",1
PBDESTERRO,PB,05402,Desterro, 8 067,"8,332","8332,00",1
PBVISTASERRANA,PB,05501,Vista Serrana, 3 641,"3,850","3850,00",1
PBDIAMANTE,PB,05600,Diamante, 6 299,"6,506","6506,00",1
PBDONAINÊS,PB,05709,Dona Inês, 10 380,"10,375","10375,00","0,999518304431599"
PBDUASESTRADAS,PB,05808,Duas Estradas, 3 327,"3,569","3569,00",1
PBEMAS,PB,05907,Emas, 3 011,"3,556","3556,00",1
PBESPERANÇA,PB,06004,Esperança, 31 231,"33,386","33386,00",1
PBFAGUNDES,PB,06103,Fagundes, 11 049,"11,180","11180,00",1
PBFREIMARTINHO,PB,06202,Frei Martinho, 2 846,"2,989","2989,00",1
PBGADOBRAVO,PB,06251,Gado Bravo, 8 179,"8,292","8292,00",1
PBGUARABIRA,PB,06301,Guarabira, 57 484,"59,389","59389,00",1
PBGURINHÉM,PB,06400,Gurinhém, 13 766,"14,125","14125,00",1
PBGURJÃO,PB,06509,Gurjão, 3 242,"3,477","3477,00",1
